DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2024-12-06,EQ,234.52,254.0,233.01,234.52,241.0,239.63,244.53,378.4,165.0,839742,205341564.18,12606,MVGJL
2024-12-05,EQ,236.46,243.0,233.6,236.46,234.6,234.52,238.0,378.4,165.0,121441,28903559.56,3095,MVGJL
2024-12-04,EQ,238.05,240.01,232.35,238.05,236.75,236.46,236.74,378.4,165.0,114804,27178883.97,2958,MVGJL
2024-12-03,EQ,231.95,239.95,231.95,232.55,237.59,238.05,236.52,378.4,165.0,144838,34257571.9,4425,MVGJL
2024-12-02,EQ,231.5,233.58,228.56,231.05,232.79,232.55,231.07,378.4,165.0,136885,31629864.82,3851,MVGJL
2024-11-29,EQ,233.8,236.4,230.0,234.65,231.15,231.05,232.11,378.4,165.0,79162,18374350.9,2205,MVGJL
2024-11-28,EQ,231.1,241.2,231.1,232.8,233.8,234.65,236.43,378.4,165.0,132007,31210959.3,4494,MVGJL
2024-11-27,EQ,231.6,234.3,228.1,229.1,233.0,232.8,231.18,378.4,165.0,102836,23773188.95,2053,MVGJL
2024-11-26,EQ,225.05,243.45,225.05,225.75,229.8,229.1,233.52,378.4,165.0,239973,56039111.45,4985,MVGJL
2024-11-25,EQ,222.75,227.95,222.0,218.8,227.0,225.75,224.42,378.4,165.0,195447,43862957.75,2858,MVGJL
2024-11-22,EQ,221.9,223.8,217.6,219.55,220.3,218.8,219.42,382.0,165.0,114444,25111476.95,2444,MVGJL
2024-11-21,EQ,224.9,224.95,217.65,223.4,219.9,219.55,220.11,382.0,165.0,74945,16496360.3,2012,MVGJL
2024-11-19,EQ,220.3,234.55,219.55,219.35,222.05,223.4,227.07,382.0,165.0,381414,86606812.6,6544,MVGJL
2024-11-18,EQ,229.65,229.65,217.55,226.25,218.35,219.35,221.22,382.0,165.0,169506,37498074.1,3323,MVGJL
2024-11-14,EQ,233.6,241.95,225.5,229.95,226.0,226.25,232.0,382.0,165.0,270923,62854353.9,5566,MVGJL
2024-11-13,EQ,231.0,244.7,221.0,231.35,236.0,229.95,227.6,382.0,165.0,256988,58491188.6,4256,MVGJL
2024-11-12,EQ,239.9,240.2,230.0,237.0,230.1,231.35,235.82,382.0,165.0,120259,28359909.7,2827,MVGJL
2024-11-11,EQ,243.2,243.9,236.0,243.2,238.5,237.0,238.73,382.0,165.0,111505,26619115.75,2542,MVGJL
2024-11-08,EQ,249.85,249.85,242.1,247.95,243.0,243.2,245.44,382.0,165.0,104416,25627355.1,2355,MVGJL
2024-11-07,EQ,249.45,257.5,246.2,249.8,248.0,247.95,250.14,382.0,165.0,361635,90459669.35,3757,MVGJL
2024-11-06,EQ,252.0,261.95,248.65,251.75,250.4,249.8,252.4,382.0,165.0,681543,172022811.45,6234,MVGJL
2024-11-05,EQ,259.5,261.95,248.4,257.85,253.5,251.75,252.44,382.0,165.0,342801,86535201.8,4640,MVGJL
2024-11-04,EQ,266.4,266.45,255.55,269.1,257.8,257.85,261.02,382.0,165.0,159212,41558278.9,3079,MVGJL
2024-11-01,EQ,264.2,272.0,262.1,263.9,268.0,269.1,269.17,382.0,165.0,115066,30972070.8,2105,MVGJL
2024-10-31,EQ,250.5,269.3,243.8,248.85,264.0,263.9,258.38,382.0,165.0,643367,166236125.0,8995,MVGJL
2024-10-30,EQ,238.0,251.75,238.0,236.2,247.0,248.85,245.57,382.0,165.0,262450,64450052.5,6808,MVGJL
2024-10-29,EQ,234.95,238.85,228.1,234.05,238.0,236.2,233.2,382.0,165.0,199281,46472651.65,4795,MVGJL
2024-10-28,EQ,233.4,243.25,229.0,234.6,236.8,234.05,236.72,382.0,165.0,213020,50425066.75,5304,MVGJL
2024-10-25,EQ,240.2,240.95,228.35,240.2,233.8,234.6,233.76,382.0,165.0,247388,57829183.95,7054,MVGJL
2024-10-24,EQ,238.7,243.25,232.6,238.7,240.85,240.2,238.97,382.0,165.0,211627,50572454.9,4797,MVGJL
2024-10-23,EQ,232.05,241.25,230.2,231.1,239.65,238.7,236.64,382.0,165.0,244978,57971830.25,5856,MVGJL
2024-10-22,EQ,241.7,254.0,224.4,244.85,232.75,231.1,236.31,382.0,165.0,487547,115210713.95,8748,MVGJL
2024-10-21,EQ,253.6,257.9,240.8,253.5,244.8,244.85,249.84,382.0,165.0,358248,89505971.8,6165,MVGJL
2024-10-18,EQ,259.65,259.65,252.25,260.65,253.1,253.5,254.75,382.0,165.0,230591,58743810.1,4503,MVGJL
2024-10-17,EQ,266.95,266.95,258.1,266.05,258.7,260.65,261.24,382.0,165.0,243802,63690775.9,4003,MVGJL
2024-10-16,EQ,262.5,272.5,260.55,261.8,265.0,266.05,266.42,382.0,165.0,294630,78496319.75,4929,MVGJL
2024-10-15,EQ,263.95,264.05,260.2,263.2,262.5,261.8,262.0,382.0,165.0,155537,40751242.4,2799,MVGJL
2024-10-14,EQ,259.5,265.7,256.55,258.5,262.1,263.2,261.78,382.0,165.0,306266,80173494.55,5541,MVGJL
2024-10-11,EQ,266.0,266.0,256.6,264.55,259.0,258.5,260.49,382.0,165.0,230958,60162786.05,3996,MVGJL
2024-10-10,EQ,264.95,267.65,260.6,262.85,265.3,264.55,263.3,382.0,165.0,208455,54886624.1,3690,MVGJL
2024-10-09,EQ,271.7,278.0,261.55,268.55,264.0,262.85,267.5,382.0,165.0,890499,238204464.1,10582,MVGJL
2024-10-08,EQ,246.05,273.0,240.1,246.05,269.0,268.55,258.21,382.0,165.0,816347,210789664.5,10529,MVGJL
2024-10-07,EQ,261.85,263.15,243.05,258.0,248.6,246.05,250.01,382.0,165.0,439165,109797489.25,7358,MVGJL
2024-10-04,EQ,267.1,269.4,256.25,265.0,257.1,258.0,261.67,382.0,165.0,450417,117859700.0,7245,MVGJL
2024-10-03,EQ,270.0,277.4,261.1,270.7,268.75,265.0,269.05,382.0,165.0,537969,144738048.15,8759,MVGJL
2024-10-01,EQ,272.7,280.0,268.4,270.42,272.0,270.7,274.42,382.0,165.0,882043,242048939.7,12959,MVGJL
2024-09-30,EQ,262.98,289.75,257.61,262.93,272.95,270.42,273.96,382.0,165.0,2604317,713490364.54,49126,MVGJL
2024-09-27,EQ,274.9,280.8,262.0,272.87,263.5,262.93,269.77,382.0,165.0,925448,249655085.62,17929,MVGJL
2024-09-26,EQ,281.75,284.7,271.52,280.39,273.45,272.87,275.03,382.0,165.0,547267,150514684.45,11512,MVGJL
2024-09-25,EQ,292.43,294.7,280.0,289.0,281.19,280.39,285.77,382.0,165.0,411958,117725258.41,9588,MVGJL
2024-09-24,EQ,286.9,297.0,286.89,284.73,290.0,289.0,290.96,382.0,165.0,707908,205973246.35,16501,MVGJL
2024-09-23,EQ,281.99,301.0,278.85,280.86,285.0,284.73,289.95,382.0,165.0,1956000,567146697.05,38441,MVGJL
2024-09-20,EQ,284.7,288.39,280.0,281.28,281.5,280.86,283.43,382.0,165.0,387123,109720665.74,10940,MVGJL
2024-09-19,EQ,294.99,299.0,276.15,292.77,282.72,281.28,284.28,382.0,165.0,842692,239557829.86,28983,MVGJL
2024-09-18,EQ,302.76,311.8,291.0,300.29,292.49,292.77,296.7,382.0,165.0,1273710,377904307.64,22848,MVGJL
2024-09-17,EQ,304.05,314.67,295.3,301.03,300.0,300.29,303.87,382.0,165.0,2137555,649544365.76,48718,MVGJL
2024-09-16,EQ,292.5,330.9,292.5,289.86,303.4,301.03,313.88,382.0,165.0,5118107,1606462152.96,87595,MVGJL
2024-09-13,EQ,279.0,305.55,274.59,272.45,288.0,289.86,294.13,382.0,165.0,4167148,1225687365.6,81425,MVGJL
2024-09-12,EQ,278.8,289.0,270.55,272.26,273.0,272.45,278.39,382.0,165.0,1131675,315052179.74,26306,MVGJL
2024-09-11,EQ,277.9,286.4,268.02,274.89,272.8,272.26,276.59,382.0,165.0,1276467,353052325.58,33992,MVGJL
2024-09-10,EQ,272.65,311.32,269.0,270.72,274.23,274.89,288.78,382.0,165.0,3496543,1009741004.83,80233,MVGJL
2024-09-09,EQ,243.0,285.0,239.72,244.51,269.9,270.72,272.97,382.0,165.0,2979056,813205849.88,76205,MVGJL
2024-09-06,EQ,252.0,255.0,242.41,249.77,245.76,244.51,246.7,382.0,165.0,147463,36379565.89,7490,MVGJL
2024-09-05,EQ,255.1,261.0,248.2,252.76,250.0,249.77,253.74,382.0,165.0,316568,80325919.94,11879,MVGJL
2024-09-04,EQ,240.5,261.4,234.0,239.39,251.98,252.76,251.04,382.0,165.0,768335,192886379.4,23808,MVGJL
2024-09-03,EQ,243.9,243.9,239.0,241.54,240.16,239.39,240.44,382.0,165.0,99954,24032610.5,5291,MVGJL
2024-09-02,EQ,249.99,249.99,240.55,246.67,242.7,241.54,244.14,382.0,165.0,111347,27184189.13,5346,MVGJL
2024-08-30,EQ,251.15,256.32,244.76,246.18,248.0,246.67,249.76,382.0,165.0,122262,30536372.79,6107,MVGJL
2024-08-29,EQ,255.25,257.03,243.39,252.68,247.5,246.18,248.01,382.0,165.0,208032,51593580.79,8955,MVGJL
2024-08-28,EQ,260.0,268.0,250.8,266.57,252.9,252.68,257.52,382.0,165.0,426091,109725750.5,13115,MVGJL
2024-08-27,EQ,268.5,277.0,265.0,266.91,266.9,266.57,270.6,382.0,165.0,336876,91160328.53,15334,MVGJL
2024-08-26,EQ,255.0,277.3,253.0,251.8,268.75,266.91,269.4,382.0,165.0,1298757,349887812.47,43323,MVGJL
2024-08-23,EQ,246.5,267.83,246.5,248.19,251.9,251.8,257.87,382.0,165.0,477687,123181281.95,17750,MVGJL
